symbol,name,name_zh,asset_type,platform,data_source,timeframe,latest_price,market_cap,weekly_turnover_pct,high_52w,high_52w_date,ma20,ma50,buy_zone_low,buy_zone_high,stop_reference,external_id,chart_path
V,V,维萨,stock,yahoo,yahoo,1d,348.97,663651536207,3.3683,365.02,2026-07-06,338.108,330.0824,330.0824,338.108,323.4808,V,../Cursor output/us_stock_charts/维萨_日線.png
PANW,PANW,派拓网络,stock,yahoo,yahoo,1d,325.91,265616652984,7.0644,368.17,2026-07-06,310.2935,267.0902,267.0902,310.2935,261.7484,PANW,../Cursor output/us_stock_charts/派拓网络_日線.png
CRWD,CRWD,克劳德斯特莱克,stock,yahoo,yahoo,1d,187.18,190597764572,6.5537,209.5,2026-07-06,180.7647,163.2202,163.2202,180.7647,159.9558,CRWD,../Cursor output/us_stock_charts/克劳德斯特莱克_日線.png
GEV,GEV,GE维尔诺瓦,stock,yahoo,yahoo,1d,1091.5699,293326670508,7.015,1195.9399,2026-07-06,1065.5045,1038.7262,1038.7262,1065.5045,1017.9517,GEV,../Cursor output/us_stock_charts/GE维尔诺瓦_日線.png
